id,star_rating,name,description,brand,address.addr1,address.city,address.region,address.country,address.postal_code,latitude,longitude,neighborhood[0],base_price,image[0].url,url
GR_191464,3,CLUB LYDA HOTEL,CLUB LYDA HOTEL,CLUB LYDA HOTEL,Kreeta-Iraklion,Kreeta-Iraklion,Kreeta-Iraklion,Kreeka,00000,39.0,22.0,Kreeta-Iraklion,619 EUR,https://img.tezapi.eu/hotel/1807/ClubLyda__24__4722_B9BDF990032476FFA85EE642BA659BDB_5422_middle.jpg,https://www.teztour.ee/tours/aeb280a07840489aa09847d5fec46123/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/191464/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
GR_194538,4,SUNSHINE CORFU HOTEL & SPA,SUNSHINE CORFU HOTEL & SPA,SUNSHINE CORFU HOTEL & SPA,Korfu,Korfu,Korfu,Kreeka,00000,39.0,22.0,Korfu,1561 EUR,https://img.tezapi.eu/hotel/1694/104_C__371_middle.jpg,https://www.teztour.ee/tours/c42d553da78cb63272711d442d4a1542/cityId/3746/countryId/7067498/adults/2/hotel/194538/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
GR_194571,4,GRECOTEL MELI PALACE,GRECOTEL MELI PALACE,GRECOTEL MELI PALACE,Kreeta-Lassithi,Kreeta-Lassithi,Kreeta-Lassithi,Kreeka,00000,39.0,22.0,Kreeta-Lassithi,866 EUR,https://img.tezapi.eu/hotel/4063/1-meli-palace-luxury-seafront-resort-in-lassithi-crete-32224_2224_middle.jpg,https://www.teztour.ee/tours/4c8f3a07e604a31f7315b3a0e41f67d1/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/194571/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
GR_194798,4,HERSONISSOS VILLAGE HOTEL & BUNGALOWS,HERSONISSOS VILLAGE HOTEL & BUNGALOWS,HERSONISSOS VILLAGE HOTEL & BUNGALOWS,Kreeta-Iraklion,Kreeta-Iraklion,Kreeta-Iraklion,Kreeka,00000,39.0,22.0,Kreeta-Iraklion,486 EUR,https://img.tezapi.eu/hotel/1058/Hersonissos_Village_Pool_View_3741_1994BFF3F0705BF41EDA33025B738A6C_3703_middle.jpg,https://www.teztour.ee/tours/09c67fc287fe2b1b0c39470eb01ade14/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/194798/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/3/maxNights/6/currencyId/18864.et.html
GR_212073,3,MARIRENA HOTEL,MARIRENA HOTEL,MARIRENA HOTEL,Kreeta-Iraklion,Kreeta-Iraklion,Kreeta-Iraklion,Kreeka,00000,39.0,22.0,Kreeta-Iraklion,546 EUR,https://img.tezapi.eu/hotel/7000203/New_folder_img_1012-img_1018-Panorama_818_middle.jpg,https://www.teztour.ee/tours/3fe5f58c0f2b42d1923d9f15cfde059b/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/212073/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
GR_212095,4,GRAND HOTEL HOLIDAY RESORT,GRAND HOTEL HOLIDAY RESORT,GRAND HOTEL HOLIDAY RESORT,Kreeta-Iraklion,Kreeta-Iraklion,Kreeta-Iraklion,Kreeka,00000,39.0,22.0,Kreeta-Iraklion,723 EUR,https://img.tezapi.eu/hotel/7000191/CHILDRENS_POOL__2__8276_middle.jpg,https://www.teztour.ee/tours/dfc718ea792b62538c64f4f8f07b13eb/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/212095/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
GR_214202,4,PALAZZO VECCHIO EXCLUSIVE RESIDENCE,PALAZZO VECCHIO EXCLUSIVE RESIDENCE,PALAZZO VECCHIO EXCLUSIVE RESIDENCE,Kreeta-Rethymno,Kreeta-Rethymno,Kreeta-Rethymno,Kreeka,00000,39.0,22.0,Kreeta-Rethymno,770 EUR,https://img.tezapi.eu/hotel/7000032/d30c1888c63162a92c4eece28091a5f7af0840f2fbe09f8754b89203eb530514_6569_middle.jpg,https://www.teztour.ee/tours/04ac1c042efcee7dc4069824b8cb925c/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/214202/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
GR_214286,3,CENTRAL HERSONISSOS HOTEL,CENTRAL HERSONISSOS HOTEL,CENTRAL HERSONISSOS HOTEL,Kreeta-Iraklion,Kreeta-Iraklion,Kreeta-Iraklion,Kreeka,00000,39.0,22.0,Kreeta-Iraklion,607 EUR,https://img.tezapi.eu/hotel/7000192/Swimming_Pool_1_2780_middle.jpg,https://www.teztour.ee/tours/96fdec509cca0c7fa527c535eb7ae75f/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/214286/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
GR_214570,3,ROXANI HOTEL,ROXANI HOTEL,ROXANI HOTEL,Kreeta-Iraklion,Kreeta-Iraklion,Kreeta-Iraklion,Kreeka,00000,39.0,22.0,Kreeta-Iraklion,579 EUR,https://img.tezapi.eu/hotel/7000205/roxani-hotel-amoudara-heraklion-pic-88_2293_middle.JPEG,https://www.teztour.ee/tours/4f92f27c5764301e42e0aac515d1ca6a/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/214570/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
GR_218105,5,PRINCESS ANDRIANA RESORT & SPA,PRINCESS ANDRIANA RESORT & SPA,PRINCESS ANDRIANA RESORT & SPA,Rhodos-Lindos,Rhodos-Lindos,Rhodos-Lindos,Kreeka,00000,39.0,22.0,Rhodos-Lindos,731 EUR,https://img.tezapi.eu/hotel/7000164/princess_andriana_resort_&_spa_rhodes_beach_7879_middle.jpg,https://www.teztour.ee/tours/25eab2570c72944ef6eb140b90fdb66b/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/218105/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/06.08.2025/after/30.07.2025/minNights/3/maxNights/6/currencyId/18864.et.html
