Property ID,Property name,Final URL,Image URL,Destination name,Description,Price,Sale price,Star rating,Category,Contextual keywords,Address,Tracking template,Custom parameter,Final mobile URL,Android app link,iOS app link,iOS app store ID
57194,BIENO CLUB HOTEL SVS,https://www.teztour.ee/tours/80a3ad1433592eeba96c905aa2fb1320/cityId/3746/countryId/1104/adults/2/hotel/57194/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/24.09.2025/after/17.09.2025/minNights/9/maxNights/12/currencyId/18864.et.html,https://img.tezapi.eu/hotel/793/DAP05408-1-1024x682_4622_middle.jpg,Incekum - Alanya,BIENO CLUB HOTEL SVS,546 EUR,,4,Hotel,,,,,,,,
110155,RING BEACH HOTEL,https://www.teztour.ee/tours/5def1215e4151aadfae30ba7ee4bc5c7/cityId/3746/countryId/1104/adults/2/hotel/110155/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/26.09.2025/after/19.09.2025/minNights/7/maxNights/10/currencyId/18864.et.html,https://img.tezapi.eu/hotel/3205/DJI_20250528070415_0145_D_9855_middle.jpg,Kemer,RING BEACH HOTEL,882 EUR,,5,Hotel,,,,,,,,
110733,VITA SILVA HOTEL,https://www.teztour.ee/tours/b80dd1e10e1bae92f032da634747af8e/cityId/3746/countryId/1104/adults/2/hotel/110733/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/02.10.2025/after/25.09.2025/minNights/8/maxNights/11/currencyId/18864.et.html,https://img.tezapi.eu/hotel/786/02_GENEL_2_1106_middle.jpg,Side,VITA SILVA HOTEL,1048 EUR,,5,Hotel,,,,,,,,
164338,DAIMA BIZ HOTEL,https://www.teztour.ee/tours/c93f192bb10583ba7bb253ead30ef4e0/cityId/3746/countryId/1104/adults/2/hotel/164338/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/08.10.2025/after/01.10.2025/minNights/2/maxNights/5/currencyId/18864.et.html,https://img.tezapi.eu/hotel/2335/1_GG_1A_5295_middle.JPG,Kemer,DAIMA BIZ HOTEL,633 EUR,,5,Hotel,,,,,,,,
266796,ALAN XAFIRA DELUXE RESORT & SPA,https://www.teztour.ee/tours/a667248aa016e7f35857fdb313ed3fd1/cityId/3746/countryId/1104/adults/2/hotel/266796/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/26.09.2025/after/19.09.2025/minNights/7/maxNights/10/currencyId/18864.et.html,https://img.tezapi.eu/hotel/7018796/genel_1_4521_middle.JPG,Incekum - Alanya,ALAN XAFIRA DELUXE RESORT & SPA,788 EUR,,5,Hotel,,,,,,,,
487904,CLOVER MAGIC PARK BEACH ALANYA,https://www.teztour.ee/tours/63071af35e436ceac3c7b0ce0de450df/cityId/3746/countryId/1104/adults/2/hotel/487904/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/24.09.2025/after/17.09.2025/minNights/9/maxNights/12/currencyId/18864.et.html,https://img.tezapi.eu/hotel/14401/Havuz-3_5920_3B20A9675574EE35C35D144575CF4382_274_middle.jpg,Incekum - Alanya,CLOVER MAGIC PARK BEACH ALANYA,560 EUR,,4,Hotel,,,,,,,,
489303,MYSEA HOTEL ALARA,https://www.teztour.ee/tours/bbdb895446e663245c3a72203657fc17/cityId/3746/countryId/1104/adults/2/hotel/489303/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/24.09.2025/after/17.09.2025/minNights/9/maxNights/12/currencyId/18864.et.html,https://img.tezapi.eu/hotel/8001/2637_6561_middle.jpg,Incekum - Alanya,MYSEA HOTEL ALARA,495 EUR,,4,Hotel,,,,,,,,
555772,RELAX BEACH HOTEL,https://www.teztour.ee/tours/50d8407a1269d37e1185f6601304686a/cityId/3746/countryId/1104/adults/2/hotel/555772/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/17.10.2025/after/10.10.2025/minNights/4/maxNights/7/currencyId/18864.et.html,https://img.tezapi.eu/hotel/11901/Relax_Beach_Hotel01_5441_middle.jpg,Incekum - Alanya,RELAX BEACH HOTEL,527 EUR,,4,Hotel,,,,,,,,
556567,KIRMAN CALYPTUS RESORT & SPA,https://www.teztour.ee/tours/9eff84c1726f26acdc4a99da818b327e/cityId/3746/countryId/1104/adults/2/hotel/556567/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/26.09.2025/after/19.09.2025/minNights/7/maxNights/10/currencyId/18864.et.html,https://img.tezapi.eu/hotel/13022/Aquapark__2__6149_middle.jpg,Side,KIRMAN CALYPTUS RESORT & SPA,1327 EUR,,5,Hotel,,,,,,,,
579336,CLUB HOTEL MARAKESH BEACH,https://www.teztour.ee/tours/8778f87335aff1e0703a1af296c5fee2/cityId/3746/countryId/1104/adults/2/hotel/579336/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/01.10.2025/after/24.09.2025/minNights/9/maxNights/12/currencyId/18864.et.html,https://img.tezapi.eu/hotel/19586/01_GENEL_MEKANLAR__18__4480_middle.jpeg,Kemer,CLUB HOTEL MARAKESH BEACH,591 EUR,,4,Hotel,,,,,,,,
