hotel_id,star_rating,name,description,brand,address.addr1,address.city,address.region,address.country,address.postal_code,latitude,longitude,neighborhood[0],base_price,image[0].url,url
7003423,4,CHC MARILENA HOTEL,CHC MARILENA HOTEL,CHC MARILENA HOTEL,Kreeta-Iraklion,Kreeta-Iraklion,Kreeta-Iraklion,Kreeka,00000,39.0,22.0,Kreeta-Iraklion,640 EUR,https://img.tezapi.eu/hotel/795/pool1_1336_middle.jpg,https://www.teztour.ee/tours/62a15f6e8932869e4300df7de58aa82f/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/7003423/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/07.08.2025/after/31.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
7003586,4,HERSONISSOS MARIS,HERSONISSOS MARIS,HERSONISSOS MARIS,Kreeta-Iraklion,Kreeta-Iraklion,Kreeta-Iraklion,Kreeka,00000,39.0,22.0,Kreeta-Iraklion,850 EUR,https://img.tezapi.eu/hotel/4232/GOPR2623_2742_middle.JPG,https://www.teztour.ee/tours/867242d2d98b8b0e16326f534ed7be5e/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/7003586/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/07.08.2025/after/31.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
9002272,5,ELECTRA PALACE RESORT,ELECTRA PALACE RESORT,ELECTRA PALACE RESORT,Rhodos-Ialysos/Rhodos,Rhodos-Ialysos/Rhodos,Rhodos-Ialysos/Rhodos,Kreeka,00000,39.0,22.0,Rhodos-Ialysos/Rhodos,1193 EUR,https://img.tezapi.eu/hotel/1420/042-A-exterior_118182588_4436_middle.jpg,https://www.teztour.ee/tours/d8278d2c3e0330cc9da2cc9b77e24b1e/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/9002272/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/07.08.2025/after/31.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
9002288,5,RODOS PALLADIUM LEISURE & WELLNESS,RODOS PALLADIUM LEISURE & WELLNESS,RODOS PALLADIUM LEISURE & WELLNESS,Rhodos-Kallithea/Faliraki,Rhodos-Kallithea/Faliraki,Rhodos-Kallithea/Faliraki,Kreeka,00000,39.0,22.0,Rhodos-Kallithea/Faliraki,680 EUR,https://img.tezapi.eu/hotel/1809/s__1__9598_middle.jpg,https://www.teztour.ee/tours/8a6a18a6dbab2173d08136525b6f2c19/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/9002288/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/07.08.2025/after/31.07.2025/minNights/3/maxNights/6/currencyId/18864.et.html
9002296,5,ELYSIUM RESORT & SPA,ELYSIUM RESORT & SPA,ELYSIUM RESORT & SPA,Rhodos-Kallithea/Faliraki,Rhodos-Kallithea/Faliraki,Rhodos-Kallithea/Faliraki,Kreeka,00000,39.0,22.0,Rhodos-Kallithea/Faliraki,1323 EUR,https://img.tezapi.eu/hotel/4030/204_Pools_Gardens_Beach_ELYSIUM_3590_middle.jpg,https://www.teztour.ee/tours/d881143092e413fc4f22e5b6960f950f/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/9002296/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/07.08.2025/after/31.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
9002307,5,"LINDIAN VILLAGE ALL INCLUSIVE RESORT RHODES,CURIO COLLECTION BY HILTON","LINDIAN VILLAGE ALL INCLUSIVE RESORT RHODES,CURIO COLLECTION BY HILTON","LINDIAN VILLAGE ALL INCLUSIVE RESORT RHODES,CURIO COLLECTION BY HILTON",Rhodos-Lindos,Rhodos-Lindos,Rhodos-Lindos,Kreeka,00000,39.0,22.0,Rhodos-Lindos,1298 EUR,https://img.tezapi.eu/hotel/582/543310947_7024_middle.jpg,https://www.teztour.ee/tours/33092ea06f5822ceaa2ab69b38991d9d/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/9002307/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/07.08.2025/after/31.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
9002330,4,KRESTEN PALACE HOTEL,KRESTEN PALACE HOTEL,KRESTEN PALACE HOTEL,Rhodos-Kallithea/Faliraki,Rhodos-Kallithea/Faliraki,Rhodos-Kallithea/Faliraki,Kreeka,00000,39.0,22.0,Rhodos-Kallithea/Faliraki,928 EUR,https://img.tezapi.eu/hotel/204/aerial1_4045_middle.jpg,https://www.teztour.ee/tours/f7d864bb98eabc288c2169086b510208/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/9002330/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/07.08.2025/after/31.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
9002342,4,IRENE PALACE BEACH RESORT,IRENE PALACE BEACH RESORT,IRENE PALACE BEACH RESORT,Rhodos-Kolymbia,Rhodos-Kolymbia,Rhodos-Kolymbia,Kreeka,00000,39.0,22.0,Rhodos-Kolymbia,898 EUR,https://img.tezapi.eu/hotel/1818/DJI_0054_4194_middle.jpg,https://www.teztour.ee/tours/75bf1bb0fbdd35fe13ab80a64e73561a/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/9002342/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/07.08.2025/after/31.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
9002347,5,LINDOS ROYAL RESORT,LINDOS ROYAL RESORT,LINDOS ROYAL RESORT,Rhodos-Lindos,Rhodos-Lindos,Rhodos-Lindos,Kreeka,00000,39.0,22.0,Rhodos-Lindos,1014 EUR,https://img.tezapi.eu/hotel/1726/01_Overview_4160_middle.jpg,https://www.teztour.ee/tours/d7924561361604dbb008f8bdb308457b/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/9002347/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/07.08.2025/after/31.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
9002367,4,ARIADNE BEACH MALIA,ARIADNE BEACH MALIA,ARIADNE BEACH MALIA,Kreeta-Iraklion,Kreeta-Iraklion,Kreeta-Iraklion,Kreeka,00000,39.0,22.0,Kreeta-Iraklion,852 EUR,https://img.tezapi.eu/hotel/327/ARIADNE_BEACH_HOTEL_AERIAL_1_CMYK_0196_9317_middle.jpg,https://www.teztour.ee/tours/f4170dbe6f002e809a9a046dad0610e3/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/9002367/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/07.08.2025/after/31.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
9002385,4,GOLDEN BEACH HOTEL,GOLDEN BEACH HOTEL,GOLDEN BEACH HOTEL,Kreeta-Iraklion,Kreeta-Iraklion,Kreeta-Iraklion,Kreeka,00000,39.0,22.0,Kreeta-Iraklion,649 EUR,https://img.tezapi.eu/hotel/3389/BEACH_VIEW_5859_middle.jpg,https://www.teztour.ee/tours/dd8eb7a10e5f6b7a86ff3b655f1f491f/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/9002385/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/07.08.2025/after/31.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
9002388,4,MALIA BAY BEACH HOTEL & BUNGALOWS,MALIA BAY BEACH HOTEL & BUNGALOWS,MALIA BAY BEACH HOTEL & BUNGALOWS,Kreeta-Iraklion,Kreeta-Iraklion,Kreeta-Iraklion,Kreeka,00000,39.0,22.0,Kreeta-Iraklion,810 EUR,https://img.tezapi.eu/hotel/3306/Hotel_and_Drone-12_593_middle.jpg,https://www.teztour.ee/tours/358c3acd0ace93b9a23c792e511baf6d/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/9002388/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/07.08.2025/after/31.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
9002411,5,CORFU HOLIDAY PALACE,CORFU HOLIDAY PALACE,CORFU HOLIDAY PALACE,Korfu,Korfu,Korfu,Kreeka,00000,39.0,22.0,Korfu,1519 EUR,https://img.tezapi.eu/hotel/2381/web_Beach_1_8892_middle.jpg,https://www.teztour.ee/tours/16a85e3ee2377dc753efe7ff1353c718/cityId/3746/countryId/7067498/adults/2/hotel/9002411/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/07.08.2025/after/31.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
9002414,5,KONTOKALI BAY RESORT & SPA,KONTOKALI BAY RESORT & SPA,KONTOKALI BAY RESORT & SPA,Korfu,Korfu,Korfu,Kreeka,00000,39.0,22.0,Korfu,2507 EUR,https://img.tezapi.eu/hotel/794/Aerial_View_55_7438_middle.jpg,https://www.teztour.ee/tours/b33eabb79634b912211dc94fe90fbbdd/cityId/3746/countryId/7067498/adults/2/hotel/9002414/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/07.08.2025/after/31.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
9002446,4,GRECOTEL PLAZA BEACH HOUSE,GRECOTEL PLAZA BEACH HOUSE,GRECOTEL PLAZA BEACH HOUSE,Kreeta-Rethymno,Kreeta-Rethymno,Kreeta-Rethymno,Kreeka,00000,39.0,22.0,Kreeta-Rethymno,842 EUR,https://img.tezapi.eu/hotel/149/02-Z100_All-day-swimming-and-lounging-by-the-pool_72dpi_8946_middle.jpg,https://www.teztour.ee/tours/73f8ed413f6e9ee2fffb50de193d064d/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/9002446/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/07.08.2025/after/31.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
9002455,5,HYDRAMIS PALACE BEACH RESORT,HYDRAMIS PALACE BEACH RESORT,HYDRAMIS PALACE BEACH RESORT,Kreeta-Hania,Kreeta-Hania,Kreeta-Hania,Kreeka,00000,39.0,22.0,Kreeta-Hania,740 EUR,https://img.tezapi.eu/hotel/2362/Hydramis_Palace01_7351_middle.JPG,https://www.teztour.ee/tours/cbd461bc820e6c3324e69c63e0d33b18/cityId/3746/countryId/7067498/adults/2/ages/4/hotel/9002455/hotelTypeId/269506/mealTypeId/15350/rAndBBetter/yes/noTicketsTo/no/noTicketsFrom/no/hotelInStop/no/recommendedFlag/no/onlineConfirmFlag/no/tourMaxPrice/1500000/categoryGreatThan/yes/tourType/1/before/07.08.2025/after/31.07.2025/minNights/7/maxNights/10/currencyId/18864.et.html
